Are you:,What is your major?,Gender,Age,What is the highest level of education your parents/guardians have completed? ,How many books do you or your family have at home?,"How comfortable are you in reading, understanding, and communicating in English?",Do you work?,Do you live:,"On average, how many hours of sleep do you get each night?",What was your GPA in high-school? ,How motivated are you to improve your critical thinking skills?,Do you consider yourself a good critical thinker?,Have you ever attended a course or training specifically focused on developing critical thinking skills before? ,"Consider the statement: 
""School uniforms should be mandatory as they reduce distractions and bullying."" 
What is the main claim here?","In the previous question, which statement is used as support for the main claim? ","A company has seen a 20% decrease in sales due to a new competitor. 
What could be a potential first step to address this problem?","Continue thinking about the scenario from the previous question. Let's say that you decided to analyze the competitor's strengths. 
They have a more user-friendly website and faster delivery times. 
What could be your next step?","Consider the claim: 
""Diet rich in fruits and vegetables leads to better health."" 
Which of the following would be strongest evidence for this claim?","Continue thinking about the scenario from the previous question.

Based on your selected answer about the best evidence, how strongly does it support the claim (0-weak, 2-strong)?","Consider the argument: 
""All birds can fly. Penguins are birds. Therefore, penguins can fly."" 
What is wrong with this argument?","If an argument says: 
""If it rains, then there are clouds. It doesn't rain. Therefore, there are no clouds.
Is the conclusion correct?","Considering the statement: 
""Home-schooling is better than traditional schooling."" 
Which of the following perspectives may disagree?","Consider the issue of regulation of social media content (such as laws limiting what can be shared on social media). 
Which perspective might support stricter regulations?","Consider the problem: 
""A bat and ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?"" 
What's your answer?"
Sophomore,Engineering science,Male,20,High-school degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, full time.",By yourself,Between 4 and 6,3.3,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.50 
Freshman,Liberal Arts,Male,17 years old ,High-school degree.,Between 5 and 20,Fairly comfortable.,No,With parents,Between 6 and 8,3.7,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Lower the price of the products.,An article saying fruits and vegetables are rich in essential nutrients.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.50 
Freshman,Computer Science,Male,23,High-school degree.,Less than 5,Fairly comfortable.,"Yes, full time.",With parents,Between 6 and 8,2.7,Very motivated.,I don't know,No,No claim is presented.,No support is presented.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Freshman,Liberal Arts,Female,22,High-school degree.,Less than 5,Somewhat comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.3,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,An article saying fruits and vegetables are rich in essential nutrients.,2,One of the sentences is not true.,No,A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.,$0.10 
Sophomore,Jazz and Popular Music ,Male,22,College degree.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 6 and 8,3.3,Fairly motivated.,Yes,No,Bullying and distractions are a problem in schools.,No support is presented.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Male,20,High-school degree.,Less than 5,Absolutely comfortable.,No,With parents,Between 4 and 6,3,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Female,20,High-school degree.,Between 5 and 20,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3.3,Very motivated.,I don't know,No,Bullying and distractions are a problem in schools.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,digital marketing ,Female,19,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.7,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,Yes,A parent who wants their child to have more individualized attention.;A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Not Sure but Undecided,Male,18,Did not complete high school.,Between 5 and 20,Fairly comfortable.,No,By yourself,Between 6 and 8,3,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.;Lower the price of the products.,A doctor recommending a fruit-rich diet without any specific reason.,1,One of the sentences is not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A teenager who uses social media for entertainment.,$0.10 
Freshman,Business Administration and Management,Female,18,Did not complete high school.,Between 5 and 20,Fairly comfortable.,No,With parents,Between 6 and 8,3,Fairly motivated.,I don't know,No,No claim is presented.,No support is presented.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A parent who wants their child to have more individualized attention.;A curriculum developer who designs home-schooling programs.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Male,18,Did not complete high school.,Between 5 and 20,Fairly comfortable.,No,With parents,Between 6 and 8,3.3,Very motivated.,I don't know,No,Bullying and distractions are a problem in schools.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,An article saying fruits and vegetables are rich in essential nutrients.,1,One of the sentences is not true.,No,A curriculum developer who designs home-schooling programs.,A social media company CEO concerned about user growth.,$0.10 
Freshman,Forensic Science,Female,18,High-school degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 6 and 8,2.3,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A teenager who uses social media for entertainment.,$0.10 
Sophomore,health science,Female,20,High-school degree.,More than 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.;A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Health Science,Female,20,Graduate degree.,More than 50,Fairly comfortable.,No,With parents,Between 6 and 8,3,Very motivated.,Yes,No,Bullying and distractions are a problem in schools.,No support is presented.,Discredit the competitor in the market.;Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.,$0.05 
Freshman,Engineering Science,Female,17,Graduate degree.,Between 5 and 20,Comfortable enough to understand most things.,No,By yourself,Between 6 and 8,3.7,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,Yes,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,graduated already,Female,76,College degree.,More than 50,Absolutely comfortable.,No,By yourself,8 or more,3,Very motivated.,Yes,Yes,School uniforms reduce distractions and bullying.,No support is presented.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Nusing,Female,18,Graduate degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 4 and 6,3.7,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,Computer Science,Female,18,Graduate degree.,More than 50,Absolutely comfortable.,No,With parents,Between 4 and 6,3.3,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Freshman,Critical Thinking & Justice ,Female,18,High-school degree.,Less than 5,Absolutely comfortable.,No,With parents,Between 6 and 8,2.7,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Male,20,College degree.,Between 5 and 20,Fairly comfortable.,"Yes, part-time.",With parents,Between 6 and 8,3.3,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.05 
Freshman,Computer Science,Female,19,College degree.,Between 5 and 20,Comfortable enough to understand most things.,"Yes, part-time.",With parents,Between 6 and 8,1.3,Somewhat motivated.,No,No,Bullying and distractions are a problem in schools.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,No,A curriculum developer who designs home-schooling programs.,A social media influencer who values complete freedom of speech.,$0.05 
Sophomore,Nusing,Female,30,College degree.,More than 50,Absolutely comfortable.,"Yes, full time.",By yourself,Between 6 and 8,3.7,Fairly motivated.,Yes,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Discredit the competitor in the market.,Improve the company's website usability and delivery times.;Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Freshman,digital marketing,Female,27,High-school degree.,More than 50,Fairly comfortable.,"Yes, part-time.",By yourself,Between 6 and 8,4,Fairly motivated.,No,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A teenager who uses social media for entertainment.,$0.10 
Sophomore,Computer Science,Male,30,Did not complete high school.,Less than 5,Not comfortable at all.,"Yes, part-time.",By yourself,8 or more,3.7,Fairly motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A parent who wants their child to have more individualized attention.;A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Freshman,Psychology,Female,18,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 4 and 6,2.7,Fairly motivated.,Yes,No,School uniforms should be mandatory.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.,$0.10 
Sophomore,psychology,Female,21,High-school degree.,More than 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3.3,Fairly motivated.,Yes,Yes,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.05 
Freshman,Liberal Arts,Female,20,College degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 6 and 8,3,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.50 
Freshman,Liberal Arts,Female,20,College degree.,Between 5 and 20,Absolutely comfortable.,No,With parents,Between 6 and 8,3,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.50 
Sophomore,Liberal Arts,Female,40,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3.7,Very motivated.,No,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A teenager who uses social media for entertainment.,$0.10 
Freshman,Psychology ,Male,21,High-school degree.,Between 5 and 20,Fairly comfortable.,"Yes, full time.",With parents,Between 6 and 8,3.7,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Liberal Arts,Male,24,High-school degree.,Between 20 and 50,Absolutely comfortable.,"Yes, part-time.",With parents,Between 6 and 8,2.7,Fairly motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.;Increase advertising budget.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Sophomore,psychology ,Female,23,Graduate degree.,More than 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3.7,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A curriculum developer who designs home-schooling programs.,A government official concerned about fake news.,$0.10 
Sophomore,Computer Science,Male,21,High-school degree.,More than 50,Somewhat comfortable.,No,By yourself,Between 4 and 6,2.7,Somewhat motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,One of the sentences is not true.,Yes,A parent who wants their child to have more individualized attention.,A social media influencer who values complete freedom of speech.,$0.10 
Freshman,Engineering science ,Male,33,Did not complete high school.,Between 20 and 50,Absolutely comfortable.,"Yes, full time.",With parents,Between 4 and 6,3,Very motivated.,I don't know,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Lower the price of the products.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A social media influencer who values complete freedom of speech.;A government official concerned about fake news.,$0.10 
Sophomore,Multimedia programming and design ,Female,24,High-school degree.,More than 50,Absolutely comfortable.,"Yes, full time.",By yourself,Between 6 and 8,3.3,Very motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,Yes,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.05 
Freshman,Liberal Arts,Male,18,High-school degree.,Less than 5,Fairly comfortable.,"Yes, part-time.",With parents,Between 4 and 6,2.3,Fairly motivated.,I don't know,No,School uniforms should be mandatory.,Bullying and distractions are a problem in schools.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.;A social media company CEO concerned about user growth.,$0.10 
Sophomore,Liberal Arts,Male,39,High-school degree.,More than 50,Absolutely comfortable.,No,By yourself,Between 4 and 6,2.7,Very motivated.,I don't know,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.10 
Sophomore,Psychology,Male,24,College degree.,More than 50,Absolutely comfortable.,No,With parents,8 or more,3,Fairly motivated.,Yes,No,School uniforms should be mandatory.,School uniforms reduce distractions and bullying.,Increase advertising budget.,Improve the company's website usability and delivery times.;Try to buy out the competitor.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.;A teacher who believes they can provide better instruction than a parent.,A government official concerned about fake news.,$0.05 
Freshman,Nusing,Female,22,Graduate degree.,More than 50,Fairly comfortable.,No,By yourself,Between 6 and 8,4,Fairly motivated.,Yes,No,School uniforms reduce distractions and bullying.,School uniforms reduce distractions and bullying.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,2,One of the sentences is not true.,No,A parent who wants their child to have more individualized attention.,A social media influencer who values complete freedom of speech.,$0.10 
Sophomore,Public Health,Female,21,College degree.,Between 5 and 20,Fairly comfortable.,"Yes, part-time.",By yourself,Between 6 and 8,3.7,Very motivated.,Yes,No,Bullying and distractions are a problem in schools.,School uniforms are mandatory.,Analyze the competitor's strengths and weaknesses.,Improve the company's website usability and delivery times.,A scientific study showing lower rates of disease in people who eat more fruits and vegetables.,1,Two sentences are not true.,No,A student who enjoys socializing with classmates in a traditional school.,A government official concerned about fake news.,$0.05 
